categories,place_name,place_name_link,thumbnail_image,url_y,review_count,rating,review_talk_1,review_talk_2,review_talk_3,address,postcode,categories_all,reviews_combined,rev_cat_soup
"Bars & Clubs, Specialty Museums","The Viktor Wynd Museum of Curiosities, Fine Art & Natural History",https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/07/50/7c/45/the-viktor-wynd-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html,233,4.5,“cocktail bar”,“petting zoo”,“shrunken heads”,"11 Mare Street, London E8 4RP, England","London E8 4RP,",bars & clubs specialty museums,cocktail bar petting zoo shrunken heads,cocktail bar petting zoo shrunken heads bars & clubs specialty museums
Specialty Museums,Two Temple Place,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/05/ca/e7/b0/two-temple-place.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html,153,4.5,“william waldorf astor”,“open to the public”,“stained glass windows”,"2 Temple Place, London WC2R 3BD, England","London WC2R 3BD,",specialty museums,william waldorf astor open to the public stained glass windows,william waldorf astor open to the public stained glass windows specialty museums
Art Galleries,White Cube Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/04/79/40/da/white-cube-gallery.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html,104,4.0,“contemporary art”,“bermondsey street”,“blank canvas”,"144 _ 152 Bermondsey Street, London SE1 3TQ, England","London SE1 3TQ,",art galleries,contemporary art bermondsey street blank canvas,contemporary art bermondsey street blank canvas art galleries
Art Galleries,Camden Arts Center,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/08/75/86/d1/camden-arts-center.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html,12,4.5,“finchley road”,“book shop”,“contemporary art”,"Arkwright Road, London NW3 6DG, England","London NW3 6DG,",art galleries,finchley road book shop contemporary art,finchley road book shop contemporary art art galleries
Art Galleries,Howard Griffin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/07/a0/df/bd/gallery-view.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html,12,4.5,,,,"189 Shoreditch High Street, London E1 6HU, England","London E1 6HU,",art galleries,, art galleries
Art Galleries,Origin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/79/48/b0/enabling-artisan-shopping.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html,6,4.5,,,,"10A Greenwich Market | Greenwich, London SE10 9HZ, England","London SE10 9HZ,",art galleries,, art galleries
Art Museums,British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/56/93/eb/british-museum-exterior.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,"60,623",4.5,“rosetta stone”,“elgin marbles”,“egyptian mummies”,"Great Russell Street, London WC1B 3DG, England","London WC1B 3DG,",art museums,rosetta stone elgin marbles egyptian mummies,rosetta stone elgin marbles egyptian mummies art museums
Art Museums,V&A - Victoria and Albert Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/09/27/6e/8e/v-a-victoria-and-albert.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,"26,305",4.5,“pink floyd”,“alexander mcqueen”,“decorative arts”,"Cromwell Road, London SW7 2RL, England","London SW7 2RL,",art museums,pink floyd alexander mcqueen decorative arts,pink floyd alexander mcqueen decorative arts art museums
History Museums,Natural History Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-i/02/5c/2f/85/the-main-hall-staircase.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,"29,847",4.5,“blue whale”,“t rex”,“dinosaur section”,"Cromwell Road | South Kensington, London SW7 5BD, England","London SW7 5BD,",history museums,blue whale t rex dinosaur section,blue whale t rex dinosaur section history museums
Historic Sites,Wallace Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/5e/50/9a/large-drawing-room.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,"5,816",4.5,“laughing cavalier”,“oxford street”,“hertford house”,"Hertford House Manchester Square | Manchester Square, London W1U 3BN, England","London W1U 3BN,",historic sites,laughing cavalier oxford street hertford house,laughing cavalier oxford street hertford house historic sites
History Museums,The Charterhouse,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/06/1a/12/79/the-outside.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html,145,5.0,“standard tour”,“small museum”,“guided tour”,"The Charterhouse Charterhouse Square, London EC1M 6AN, England","London EC1M 6AN,",history museums,standard tour small museum guided tour,standard tour small museum guided tour history museums
Theaters,The Magic Circle,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/04/09/ab/53/the-magic-circle.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,194,4.5,“christmas show”,“front row”,“fantastic evening”,"12 Stephenson Way, London NW1 2HD, England","London NW1 2HD,",theaters,christmas show front row fantastic evening,christmas show front row fantastic evening theaters
Gift & Specialty Shops,House of Minalima,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0d/1d/1e/e7/letters-arrived.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html,139,4.5,“for harry potter fans”,“graphic design”,“palace theatre”,"26 Greek Street, London W1D 5DE, England","London W1D 5DE,",gift & specialty shops,for harry potter fans graphic design palace theatre,for harry potter fans graphic design palace theatre gift & specialty shops
Arenas & Stadiums,Arsenal Stadium Tours & Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/07/e8/bd/5e/arsenal-stadium-tour.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html,"1,895",4.5,“arsenal fan”,“charlie george”,“directors box”,"75 Drayton Park | Emirates Stadium, London N5 1BU, England","London N5 1BU,",arenas & stadiums,arsenal fan charlie george directors box,arsenal fan charlie george directors box arenas & stadiums
Specialty Museums,Wimbledon Lawn Tennis Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/08/4c/ba/31/wimbledon-lawn-tennis.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,"1,052",4.5,“henman hill”,“press room”,“center court”,"Church Road, Wimbledon | All England Lawn Tennis and Croquet Club, London SW19 5AG, England","London SW19 5AG,",specialty museums,henman hill press room center court,henman hill press room center court specialty museums
Specialty Museums,Madame Tussauds London,https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/2f/d0/61/madame-tussauds-london.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html,"26,521",4.0,“wax works”,“star wars”,“wax museum”,"Marylebone Road, London NW1 5LR, England","London NW1 5LR,",specialty museums,wax works star wars wax museum,wax works star wars wax museum specialty museums
Specialty Museums,The Royal Air Force Museum London,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/93/95/dd/the-royal-air-force-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html,"3,024",4.5,“battle of britain”,“aviation history”,“northern line”,"Grahame Park Way | Colindale, London NW9 5LL, England","London NW9 5LL,",specialty museums,battle of britain aviation history northern line,battle of britain aviation history northern line specialty museums
Specialty Museums,BAPS Shri Swaminarayan Mandir,https://www.tripadvisor.com/Attraction_Review-g186338-d215621-Reviews-BAPS_Shri_Swaminarayan_Mandir-London_England.html,https://media-cdn.tripadvisor.com/media/photo-i/11/78/9e/d8/baps-shri-swaminarayan.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d215621-Reviews-BAPS_Shri_Swaminarayan_Mandir-London_England.html,378,4.5,“beautiful temple”,“shayona restaurant”,“white marble”,"105-119 Brentfield Road | Neasden, London NW10 8LD, England","London NW10 8LD,",specialty museums,beautiful temple shayona restaurant white marble,beautiful temple shayona restaurant white marble specialty museums
Arenas & Stadiums,Lord's Cricket Ground,https://www.tripadvisor.com/Attraction_Review-g186338-d188020-Reviews-Lord_s_Cricket_Ground-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/d0/a4/75/welcome-to-lords.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188020-Reviews-Lord_s_Cricket_Ground-London_England.html,"1,314",4.5,“long room”,“test match”,“ashes urn”,"Lords Cricket Ground St. Johns Wood Road, London NW8 8QN, England","London NW8 8QN,",arenas & stadiums,long room test match ashes urn,long room test match ashes urn arenas & stadiums
History Museums,Royal Hospital Chelsea,https://www.tripadvisor.com/Attraction_Review-g186338-d214609-Reviews-Royal_Hospital_Chelsea-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/02/34/33/fc/an-aerial-view-of-the.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d214609-Reviews-Royal_Hospital_Chelsea-London_England.html,201,4.5,“flower show”,“army museum”,“shown round”,"Royal Hospital Road, London SW3 4SR, England","London SW3 4SR,",history museums,flower show army museum shown round,flower show army museum shown round history museums
Art Museums,National Portrait Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188863-Reviews-National_Portrait_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/02/24/d5/1d/filename-img-2030-jpg.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188863-Reviews-National_Portrait_Gallery-London_England.html,"5,141",4.5,“audrey hepburn”,“modern portraits”,“taylor wessing”,"Charing Cross Road 2 St. Martin's Place, London WC2H 0HE, England","London WC2H 0HE,",art museums,audrey hepburn modern portraits taylor wessing,audrey hepburn modern portraits taylor wessing art museums
Specialty Museums,Charles Dickens Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d188889-Reviews-Charles_Dickens_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/c6/92/aa/the-charles-dickens-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188889-Reviews-Charles_Dickens_Museum-London_England.html,889,4.5,“his life”,“doughty street”,“christmas carol”,"Charles Dickens Museum 48 Doughty Street, London WC1N 2LX, England","London WC1N 2LX,",specialty museums,his life doughty street christmas carol,his life doughty street christmas carol specialty museums
History Museums,Museum of London Docklands,https://www.tripadvisor.com/Attraction_Review-g186338-d282174-Reviews-Museum_of_London_Docklands-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/f9/7c/17/museum-of-london-docklands.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d282174-Reviews-Museum_of_London_Docklands-London_England.html,"1,002",4.5,“slave trade”,“canary wharf”,“roman times”,"1 The Warehouse Hertsmere Road, London E14 4AL, England","London E14 4AL,",history museums,slave trade canary wharf roman times,slave trade canary wharf roman times history museums
History Museums,Imperial War Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-i/0b/d6/7a/1a/photo5jpg.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museum-London_England.html,"9,055",4.5,“holocaust section”,“blitz experience”,“victoria cross”,"Lambeth Road, London SE1 6HZ, England","London SE1 6HZ,",history museums,holocaust section blitz experience victoria cross,holocaust section blitz experience victoria cross history museums
Specialty Museums,Grant Museum of Zoology,https://www.tripadvisor.com/Attraction_Review-g186338-d638483-Reviews-Grant_Museum_of_Zoology-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/8c/8e/d1/grant-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d638483-Reviews-Grant_Museum_of_Zoology-London_England.html,396,4.5,“moles”,“university college”,“preserved animals”,"21 University Street, London WC1E 6DE, England","London WC1E 6DE,",specialty museums,moles university college preserved animals,moles university college preserved animals specialty museums
Churches & Cathedrals,All Hallows By The Tower,https://www.tripadvisor.com/Attraction_Review-g186338-d553576-Reviews-All_Hallows_By_The_Tower-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/fa/01/35/kirchturm.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d553576-Reviews-All_Hallows_By_The_Tower-London_England.html,207,4.5,“oldest church”,“william penn”,“roman pavement”,"Byward Street, London EC3R 5BJ, England","London EC3R 5BJ,",churches & cathedrals,oldest church william penn roman pavement,oldest church william penn roman pavement churches & cathedrals
Historic Sites,Kenwood House,https://www.tripadvisor.com/Attraction_Review-g186338-d214613-Reviews-Kenwood_House-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/11/86/f5/kenwood-house-london.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d214613-Reviews-Kenwood_House-London_England.html,634,4.5,“english heritage”,“art collection”,“hampstead heath”,"Kenwood House Hampstead Lane, London NW3 7JR, England","London NW3 7JR,",historic sites,english heritage art collection hampstead heath,english heritage art collection hampstead heath historic sites
Historic Sites,HMS Belfast,https://www.tripadvisor.com/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/35/64/6b/thames-hms-belfast.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html,"3,201",4.5,“engine room”,“audio guide”,“war ship”,"Tooley Street, London SE1 2JH, England","London SE1 2JH,",historic sites,engine room audio guide war ship,engine room audio guide war ship historic sites
History Museums,Museum of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187560-Reviews-Museum_of_London-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/f9/77/a7/museum-of-london.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187560-Reviews-Museum_of_London-London_England.html,"5,072",4.5,“prehistoric times”,“victorian street”,“london wall”,"150 London Wall, London EC2Y 5HN, England","London EC2Y 5HN,",history museums,prehistoric times victorian street london wall,prehistoric times victorian street london wall history museums
Specialty Museums,"Museum of Brands, Packaging and Advertising",https://www.tripadvisor.com/Attraction_Review-g186338-d654918-Reviews-Museum_of_Brands_Packaging_and_Advertising-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/11/c0/c5/1e/museum-of-brands-packaging.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d654918-Reviews-Museum_of_Brands_Packaging_and_Advertising-London_England.html,994,4.5,“trip down memory lane”,“notting hill”,“portobello road”,"111-117 Lancaster Road | Notting Hill, London W11 1QT, England","London W11 1QT,",specialty museums,trip down memory lane notting hill portobello road,trip down memory lane notting hill portobello road specialty museums
Specialty Museums,Novelty Automation,https://www.tripadvisor.com/Attraction_Review-g186338-d8527239-Reviews-Novelty_Automation-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/08/78/e9/95/getlstd-property-photo.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d8527239-Reviews-Novelty_Automation-London_England.html,119,4.5,“buy tokens”,“tim hunkin”,“arcade machines”,"1A Princeton Street, London WC1R 4AX, England","London WC1R 4AX,",specialty museums,buy tokens tim hunkin arcade machines,buy tokens tim hunkin arcade machines specialty museums
Specialty Museums,Wellcome Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d662065-Reviews-Wellcome_Collection-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/09/c6/b9/91/the-reading-room-at-wellcome.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d662065-Reviews-Wellcome_Collection-London_England.html,814,4.5,“reading room”,“euston station”,“human body”,"183 Euston Road, London NW1 2BE, England","London NW1 2BE,",specialty museums,reading room euston station human body,reading room euston station human body specialty museums
Art Galleries,Guildhall Art Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d211820-Reviews-Guildhall_Art_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/03/0c/05/9d/guildhall-art-gallery.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d211820-Reviews-Guildhall_Art_Gallery-London_England.html,327,4.5,“roman amphitheatre”,“on display”,“pre raphaelite”,"Guildhall Yard, London EC2P 2EJ, England","London EC2P 2EJ,",art galleries,roman amphitheatre on display pre raphaelite,roman amphitheatre on display pre raphaelite art galleries
Art Museums,Sir John Soane's Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187559-Reviews-Sir_John_Soane_s_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/32/07/bf/ouside-shot-no-photpography.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187559-Reviews-Sir_John_Soane_s_Museum-London_England.html,"1,523",4.5,“rake's progress”,“picture room”,“lincoln's inn fields”,"13 Lincoln's Inn Fields | Holborn, London WC2A 3BP, England","London WC2A 3BP,",art museums,rake's progress picture room lincoln's inn fields,rake's progress picture room lincoln's inn fields art museums
Specialty Museums,Apsley House,https://www.tripadvisor.com/Attraction_Review-g186338-d522807-Reviews-Apsley_House-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/11/a0/da/31/apsley-house-at-night.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d522807-Reviews-Apsley_House-London_England.html,609,4.5,“english heritage”,“wellington arch”,“hyde park corner”,"Apsley House 149 Piccadilly | Hyde Park Corner, London W1J 7NT, England","London W1J 7NT,",specialty museums,english heritage wellington arch hyde park corner,english heritage wellington arch hyde park corner specialty museums
Art Galleries,Graffik Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d3337658-Reviews-Graffik_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/40/28/29/graffik-gallery-portobello.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d3337658-Reviews-Graffik_Gallery-London_England.html,117,5.0,“spray cans”,“boiler suits”,“graffiti art”,"284 Portobello Road, London W10 5TE, England","London W10 5TE,",art galleries,spray cans boiler suits graffiti art,spray cans boiler suits graffiti art art galleries
Art Museums,Jewish Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187716-Reviews-Jewish_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/a3/10/60/looking-at-the-through.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187716-Reviews-Jewish_Museum-London_England.html,243,4.5,“amy winehouse”,“camden town”,“temporary exhibition”,"129-131 Albert Street | Camden Town, London NW1 7NB, England","London NW1 7NB,",art museums,amy winehouse camden town temporary exhibition,amy winehouse camden town temporary exhibition art museums
Architectural Buildings,Queen's House,https://www.tripadvisor.com/Attraction_Review-g186338-d187602-Reviews-Queen_s_House-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/2b/f7/b0/queen-s-house.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187602-Reviews-Queen_s_House-London_England.html,223,4.5,“inigo jones”,“national maritime museum”,“greenwich park”,"Romney Road | Greenwich, London SE10 9NF, England","London SE10 9NF,",architectural buildings,inigo jones national maritime museum greenwich park,inigo jones national maritime museum greenwich park architectural buildings
Specialty Museums,London Mithraeum,https://www.tripadvisor.com/Attraction_Review-g186338-d13139701-Reviews-London_Mithraeum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-i/11/54/81/fc/photo5jpg.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d13139701-Reviews-London_Mithraeum-London_England.html,124,4.5,“roman temple”,“joanna lumley”,“cannon street”,"12 Walbrook, London EC4N 8AA, England","London EC4N 8AA,",specialty museums,roman temple joanna lumley cannon street,roman temple joanna lumley cannon street specialty museums
